peopleCd,peopleNm,repRoleNm,filmoNames
10038689,존 왓츠,감독,스파이더맨: 파 프롬 홈|스파이더맨: 홈 커밍|캅카
10000296,가이 리치,감독,알라딘|킹 아서: 제왕의 검|맨 프롬 UNCLE|셜록홈즈 : 그림자 게임|셜록 홈즈|락큰롤라|리볼버|스웹트 어웨이|스내치|록 스탁 앤 2 스모킹 배럴즈
10023314,조시 쿨리,감독,토이 스토리 4
20209287,남대중,감독,기방도령|위대한 소원
10031641,봉준호,감독,"기생충|옥자|해무(海霧)|설국열차|토니 레인즈의 한국영화 25년|마더|감독들, 김기영을 말하다|괴물|남극일기|살인의 추억|이공|피도 눈물도 없이|플란다스의 개|유령|모텔 선인장|인플루엔자|싱크 & 라이즈|백색인|지리멸렬|프레임 속의 기억들|인디포럼2014 필름1|도쿄!"
20148215,고정욱,조감독,진범|몽타주|흉터|채식주의자|사랑 따윈 필요 없어|독개구리
20148217,고정욱,액션/스턴트팀,와일드 카드
20148216,고정욱,제작팀,달마야 놀자
10090941,히라야마 미호,감독,극장판 엉덩이 탐정: 화려한 사건 수첩
10018162,게리 도버먼,감독,애나벨 집으로
10071639,채드 스타헬스키,배우,존 윅 3: 파라벨룸|존 윅 - 리로드|존 윅: 특별판|존 윅|네미시스 2 
10021926,아리 애스터,감독,미드소마|유전
20135271,강윤성,감독,롱 리브 더 킹: 목포 영웅|범죄도시|영어완전정복
20135280,강윤성,애니메이션팀,유아독존
10066410,로버트 페르난데스,감독,천로역정: 천국을 찾아서
20196179,이정호,배우,독전|신 전래동화|그것만이 내 세상|강철비|남한산성|로마의 휴일|불한당: 나쁜 놈들의 세상|신의 한 수|찌라시: 위험한 소문
20159442,이정호,사운드효과,"여선생2|7년의 밤|여자친구|곤지암|소공녀|여배우는 오늘도|장산범|마리안느와 마가렛|1급기밀|더 테이블|리얼|불한당: 나쁜 놈들의 세상|눈발|조작된 도시|더 킹|가려진 시간|고산자, 대동여지도|최악의 하루|덕혜옹주|인천상륙작전|봉이 김선달|아가씨|두 번째 스물|귀향|협녀, 칼의 기억|암살|개: dog eat dog|4등|나의 절친 악당들|장수상회|화장|쎄시봉|미라클 여행기|빅매치|카트|제보자|우는 남자|좀비스쿨|족구왕|찌라시: 위험한 소문|관능의 법칙|조선미녀삼총사|열한시|동창생|숨바꼭질|더 테러 라이브|전국노래자랑|전설의 주먹|분노의 윤리학|남영동1985|R2B: 리턴투베이스|도둑들|연가시|후궁 : 제왕의 첩|두레소리|시체가 돌아왔다|가비|화차|범죄와의 전쟁: 나쁜놈들 전성시대|페이스메이커|부러진 화살|마이 웨이|오직 그대만|의뢰인|플레이|아이들...|우리에게 떡볶이를 먹을 권리가 있다|청출어람"
20314275,이정호,소품팀,국가부도의 날
20199349,이정호,조명팀,완벽한 타인|반드시 잡는다|미씽: 사라진 여자|나는 야한 여자가 좋다 3|가자! 장미여관으로 3 - 방황|나는 야한 여자가 좋다 2
10057331,이정호,감독,비스트|방황하는 칼날|베스트셀러|용서는 없다|슈퍼맨이었던 사나이|좋지 아니한가|흡혈형사 나도열|령|청풍명월(淸風明月)|마고|물위의 하룻밤
20159443,이정호,음악 믹싱/레코딩,모범생|내 사랑 내 곁에
20294609,이정호,사운드팀,남한산성|두근두근
20217706,이정호,폴리,여선생|엄마친구 2|청춘학당2 기생난입야사|감금의 시간|엄마친구|외출|맛있는 택배
20181659,이정호,각색,석조저택 살인사건|더 폰|간첩
20159373,이정호,제작팀,보안관|라라 선샤인|밤과 낮|스카우트|사랑|소년은 울지 않는다
20328592,,감독,이사도라의 아이들
20326192,,감독,윤회
20328572,,배우,"연애의 발동 : 상해 여자, 부산 남자|라스트 갓파더"
10004401,,감독,물아기|갯벌아! 갯벌아!|달빛 프로젝트|일곱 살
20324373,,감독,마스코트
20125828,,배우,리얼|도리화가|건축학개론
20212660,,배우,나랏말싸미|지푸라기라도 잡고 싶은 짐승들|마약왕|변산|허스토리|군함도|박열|마중: 커피숍 난동 수다 사건|공조|내비게이션|현도가|고치|BiFan2015 판타스틱 단편 걸작선 6
10029093,,배우,엑시트|킹메이커 : 선거판의 여우|기묘한 가족|비밥바룰라|푸른노을|루시드 드림|수상한 그녀|홍길동의 후예|박쥐|행복|무도리|투 가이즈|마법의 성|울랄라씨스터즈|봄날은 간다|교도소 월드컵|하면 된다|간첩 리철진|산전수전|조용한 가족|투캅스 3|베이비 세일|돈을 갖고 튀어라|밀크초콜릿 1950-1990|영심이|나는 날마다 일어선다|삶의 향기
10001486,,배우,엑시트|채비|바라던 바다|그랑프리|굿모닝 프레지던트|가족의 탄생|엄마|도마 안중근|인어 공주|이혼하지 않은 여자|나의 아내를 슬프게 하는 것들|1990년 자유부인|푸른계절의 열기|질투|두 여인|깃발없는 기수|아침에 퇴근하는 여자|유혹
20215507,,배우,버닝|더 크리스마스|옥자|메이헴|프랑스 영화처럼
10009058,닐 조단,감독,마담 싸이코|온딘|브레이브 원|플루토에서 아침을|더블 다운|사랑의 슬픔 애수|인드림스|푸줏간 소년 |마이클 콜린스 |뱀파이어와의 인터뷰 |크라잉 게임|두번째 이별|모나리자
10091258,F. 게리 그레이,감독,맨 인 블랙: 인터내셔널|분노의 질주: 더 익스트림|스트레이트 아웃 오브 컴턴|모범시민|쿨|빈 디젤의 디아블로|이탈리안 잡|네고시에이터|셋잇오프 
10008737,라스 클리브버그,감독,사탄의 인형|폴라로이드
10034380,사이먼 킨버그,,엑스맨: 다크 피닉스|링컨: 뱀파이어 헌터
10027082,미미 레더,감독,세상을 바꾼 변호인|코드|사라 실종 사건|아름다운 세상을 위하여|딥 임팩트|피스메이커
10027387,미야자키 하야오,감독,바람이 분다|벼랑 위의 포뇨|하울의 움직이는 성|붉은 돼지|센과 치히로의 행방불명|모노노케 히메|마녀배달부 키키|이웃집 토토로|천공의 성 라퓨타|바람계곡의 나우시카|루팡 3세: 칼리오스트로의 성|팬더와 친구들의 모험
10009032,닐 버거,감독,업사이드|다이버전트|리미트리스|럭키 원스|일루셔니스트
10012399,덱스터 플레처,배우,로켓맨|잇 로컬|독수리 에디|선샤인 온 리스|와일드 빌|스탠더|록 스탁 앤 2 스모킹 배럴즈|죽어도 좋아
10043421,안소니 루소,감독,어벤져스: 엔드게임|어벤져스: 인피니티 워|캡틴 아메리카: 시빌 워|캡틴 아메리카: 윈터 솔져|허니문크래셔|웰컴 투 콜린우드
10065016, 조 루소,감독,어벤져스: 엔드게임|어벤져스: 인피니티 워|캡틴 아메리카: 시빌 워|캡틴 아메리카: 윈터 솔져|허니문크래셔|웰컴 투 콜린우드
20131414,이원태,감독,악인전|대장 김창수|조선마술사|가비|파파|오싹한 연애
20230410,이원태,기획,좋은사람있으면 소개시켜줘
20149274,이원태,음악진행,품행제로
10022882,마이클 도허티,감독,고질라: 킹 오브 몬스터|트릭 오어 트릿
10028891,신우,감독,트랩: 디렉터스 컷|백야행|미성년자 관람불가
20155685,신우,배우,원펀치|두 사람이다
20188501,신우,감독,버블 패밀리|다른 세상에서|블랙가스펠2: 소울을 찾는 여정가운데 만난 사람들|블랙 가스펠|대구에서|과대망상자들|고란살|제16회 대구단편영화제 경쟁5|AISFF2015 국내경쟁 2|서울독립영화제2015 새로운선택 1|로컬시네마 WITH JIFF : 제16회 전주국제영화제 한국단편경쟁부분 수상작
20158872,신우,배우,딥|게스트하우스|다섯은 너무 많아|금붕어
20217870,신우,의상팀,귀신과 함께 춤을|터치 바이 터치
20200706,신우,지미집,협상|인랑|물괴|지금 만나러 갑니다|흥부: 글로 세상을 바꾼 자|조작된 도시|아수라|밀정|두근두근 내 인생|사냥
20239986,신우,미술/프로덕션 디자인,레슬러|메리 크리스마스 미스터 모|굿바이 싱글|블랙스톤|미스터 쿠퍼
20161294,신우,VFX 아티스트,"신과함께-인과 연|신과함께-죄와 벌|대립군|리얼|고산자, 대동여지도|퀵|헤드|써니|여의도|초능력자|북극의 눈물"
20052854,신우,투자,레슬러|지금 만나러 갑니다|1987|브이아이피|군함도|1급기밀|인형사|쇼쇼쇼(Show Show Show)|베사메무쵸
20307519,신우,감독,어항 밖 물고기
10053709,유선동,감독,0.0MHz|내 심장을 쏴라|고死 두 번째 이야기: 교생실습|미스터 주부퀴즈왕|아라한 장풍대작전|샌드위치
20221765,유선동,시나리오(각본),무수단|내 심장을 쏴라
20151055,유선동,메이킹필름,질투는 나의 힘
20151053,유선동,촬영장비,뽀삐
20326692,정다원,배우,발광하는 현대사
20296614,정다원,라인프로듀서,실종2
20186696,정다원,감독,걸캅스|목숨 건 연애|장기왕 : 가락시장 레볼루션|자유의 언덕|우리 선희|누구의 딸도 아닌 해원
20120953,정다원,배우,퍼니게임
10060063,장규성,감독,어린 의뢰인|바람 바람 바람|나는 왕이로소이다|이장과 군수|여선생 VS 여제자|선생 김봉두|재밌는 영화
20160218,장규성,배우,상사부일체
20322109,이호경,감독,교회오빠
20151953,이호경,스크립터,"그녀들의 방|어떤 개인 날|지금, 이대로가 좋아요"
20158352,이호경,배우,내 여자의 남자친구
20158349,이호경,배우,내 여자친구를 소개합니다
20158346,이호경,배우,썸머 타임
20151955,이호경,제작팀,나를 닮은 얼굴
10058202,이호경,감독,민요 삼총사
10043278,데이빗 야로베스키,감독,더 보이|더 하이브
20314390,홍승완,감독,배심원들
10089638,홍승완,촬영,구세주: 리턴즈|가문의 영광5 - 가문의 귀환|캠퍼스 S 커플|내 남자의 순이|홍길동의 후예|구세주 2|원스어폰어타임|마을금고 연쇄습격사건|만남의 광장|구세주|카리스마 탈출기|가문의 위기(가문의 영광2)|공공의 적 2|신석기 블루스|령|실미도|불어라 봄바람|청풍명월(淸風明月)|폰|울랄라씨스터즈|공공의 적|선물|평양냉면
20131563,홍승완,로케이션매니저,사랑과 전쟁:열두 번째 남자
20131559,홍승완,의상,하류인생
20112612,홍승완,각색,슈퍼맨이었던 사나이|가족나들이
20113278,홍승완,배우,오늘도 순이는 열심히!|하우즈
10018169,롭 레터맨,감독,명탐정 피카츄|구스범스|걸리버 여행기|몬스터 vs 에이리언|샤크
10054185,육상효,감독,"나의 특별한 형제|화장|강철대오:구국의 철가방|방가? 방가!|여자, 정혜|달마야, 서울 가자|아이언 팜|축제|장미빛 인생"
20132877,김현호,제작팀,스윙키즈|협상|상류사회|신과함께-인과 연|신과함께-죄와 벌|나를 잊지 말아요|나의 독재자|좋지 아니한가|엄마|챔피언
20181997,김현호,지미집,"휴게소|딜쿠샤|의궤, 8일간의 축제 3D|577 프로젝트"
20320517,김현호,촬영,숲속의 부부
20167741,김현호,감독,뽀로로 극장판 보물섬 대모험|뽀로로 극장판 공룡섬 대모험|뽀로로 극장판 컴퓨터 왕국 대모험|뽀로로 극장판 슈퍼썰매 대모험|뽀로로의 대모험|뽀로로 극장판 눈요정 마을 대모험
20296190,김현호,애니메이션팀,극장판 또봇: 로봇군단의 습격
20284670,김현호,소품팀,루시드 드림|대역전
20132888,김현호,배우,방황하는 칼날|미스터좀비
20113256,김현호,감독,봄|그녀를 사랑해줘요
20171663,김현호,감독,부탁
20132887,김현호,제작관리,아프리카의 눈물
20296063, 윤창섭,애니메이션팀,뽀로로 극장판 공룡섬 대모험
20186450, 윤창섭,조감독,뽀로로 극장판 보물섬 대모험|뽀로로 극장판 컴퓨터 왕국 대모험|뽀로로 극장판 슈퍼썰매 대모험
20312876,앤소니 마라스,감독,호텔 뭄바이
10018860,루카 구아다니노,감독,서스페리아|콜 미 바이 유어 네임|비거 스플래쉬|베르톨루치가 말하는 베르톨루치 |아이 엠 러브|멜리사 P.
10076064,캘리 애스버리,감독,어글리 돌|스머프: 비밀의 숲|노미오와 줄리엣|슈렉2|스피릿
20243469,미즈노 시게노리,감독,안도 타다오
20159971,이종언,감독,생일|시|여행자|밀양|봄|처녀네 식당
20310318,이종언,프로듀서,대관람차
20165418,이종언,배우,부산
10057389,이종언,음악,서울야누스
10042886,애너 보든,감독,캡틴 마블|이츠 카인드 오브 어 퍼니 스토리|슈거
10014063, 라이언 플렉,감독,캡틴 마블|이츠 카인드 오브 어 퍼니 스토리|슈거|하프넬슨
10003461,길예르모 델 토로,감독,퍼시픽 림: 업라이징|셰이프 오브 워터: 사랑의 모양|크림슨 피크|퍼시픽 림|마마|헬보이 2 : 골든 아미|판의 미로 - 오필리아와 세 개의 열쇠|헬보이|블레이드 2|악마의 등뼈|미믹 |크로노스
10013576,크리스찬 하스,감독,프렌즈: 둥지탈출
10059976, 안드레아 블록,감독,프렌즈: 둥지탈출
10073007,마이클 차베즈,감독,요로나의 저주
10005276,김윤석,배우,"미성년|암수살인|1987|남한산성|당신, 거기 있어줄래요|검은 사제들|극비수사|쎄시봉|타짜-신의 손|해무(海霧)|화이: 괴물을 삼킨 아이|남쪽으로 튀어|도둑들|도둑들 영화를 만들다|완득이|황해|전우치|거북이 달린다|추격자|즐거운 인생|타짜|천하장사 마돈나|야수|파랑주의보|내 생애 가장 아름다운 일주일|시실리 2km|범죄의 재구성|울랄라씨스터즈|베사메무쵸|어린 연인"
20320046,김윤석,조명팀,죄 많은 소녀
20140460,김윤석,미술팀,엄마친구의맛|자매의은밀한스와핑|동갑내기 엄마|옆집소녀2|착한여선생|착한 여동생|동생의착한아내|과외의 추억|내아들의여자들|후배부부와 교환섹스|옆집누나들|가슴큰누나들|장모학개론|이모의 유혹|젊은 장모|두처제2|엄마의 맛|이채담의 지스팟|정사-두자매|라스트 갓파더
10005277,김윤석,소품,"안시성|1987|불한당: 나쁜 놈들의 세상|조작된 도시|판도라|해어화|좋아해줘|더 폰|성난 변호사|협녀, 칼의 기억|사도|경성학교: 사라진 소녀들|강남 1970|워킹걸|더 테너 리리코 스핀토|신의 한 수|방황하는 칼날|관상|명왕성|내가 살인범이다|연가시|시체가 돌아왔다|댄싱퀸|Mr.아이돌|로맨틱 헤븐|혈투|돌이킬 수 없는|퀴즈왕|꿈은 이루어진다|부산|미인도|펀치레이디|뷰티풀 선데이|구미호 가족|홀리데이|바람의 파이터|실미도|선생 김봉두|남자 태어나다|YMCA야구단|시선 1318"
10005278,김윤석,프로듀서,아빠는 딸|박수건달|1번가의 기적|흡혈형사 나도열|간 큰 가족|낭만자객|색즉시공
20300050,김윤석,DI팀,재꽃
20264689,김윤석,조명팀,정사-두자매|3분 파트너|달콤한 섹스|처제의 유혹|사슬 - 두 여자의 유혹|옆집소녀|내 남편의 가정교사|처제의 꿈|두처제
10000873,강지은,감독,"크게 될 놈|고산자, 대동여지도|강철중: 공공의 적 1-1|도마뱀|실미도|공공의 적"
20194591,강지은,데이타매니저,옹녀뎐
20145263,강지은,배우,플라스틱 트리
10017730,로저 미첼,감독,위크엔드 인 파리|굿모닝 에브리원|사랑을 견뎌내기|마더|체인징 레인스|노팅 힐|설득
20151353,박누리,조감독,돈|남자가 사랑할 때|베를린|부당거래|서울이 보이냐|더 게임|김관장 대 김관장 대 김관장
20229817,박누리,제작팀,"날, 보러와요|내부자들|끝과 시작|무서운 이야기 2"
20151351,박누리,제작관리,집으로 가는 길|기담|복면달호|아치와 씨팍|마이 캡틴 김대출|첼로-홍미주 일가 살인사건|귀여워|가족|안녕! 유에프오|...ing|내츄럴시티|남남북녀|튜브|성냥팔이 소녀의 재림|집으로...|나쁜 남자
20200169,박누리,조명팀,돌연변이|악의 연대기|맨홀|인간중독
10041297,아담 맥케이,감독,바이스|빅쇼트|앵커맨: 더 레전드 컨티뉴|스탠바이 캅|스텝 브라더스|텔라데가 나이트 : 리키 바비의 발라드|앵커맨
10009025,닐 마샬,감독,헬보이|센츄리온|둠스데이:지구 최후의 날|디센트|독 솔져
10016534,닐 마샬,,
20302929,김성기,감독,왓칭
20318875,김성기,조명팀,변산
20203526,김성기,소품팀,국제시장
20151370,김성기,배우,사생결단
20151367,김성기,미술팀,모던보이|혈의 누
20151368,김성기,VFX 아티스트,파이스토리|낭만자객
10004566,김성기,소품,비개인 오후를 좋아하세요|껄덕쇠
10085431,피에르 모렐,감독,아이 엠 마더|더 건맨 : 테이큰 감독 뉴프로젝트|더 건맨|프롬 파리 위드 러브|테이큰|13구역|트랜스포터
20235586,데이비드 F. 샌드버그,감독,샤잠!|애나벨 : 인형의 주인|라이트 아웃
10086265,조던 필,감독,어스|겟 아웃
20189699,케빈 콜쉬,감독,공포의 묘지|오디션
10007633, 데니스 위드미어,감독,공포의 묘지|오디션
10060348,프랭키 첸,감독,장난스런 키스|나의 소녀시대
10061189,저스틴 밸도니,감독,파이브 피트
10081788,팀 버튼,감독,덤보|미스 페레그린과 이상한 아이들의 집|거울나라의 앨리스|빅 아이즈|링컨: 뱀파이어 헌터|다크 섀도우|프랑켄위니|이상한 나라의 앨리스|스위니 토드 : 어느 잔혹한 이발사 이야기|유령신부(애니)|찰리와 초콜릿 공장|빅 피쉬|혹성탈출|슬리피 할로우|팀버튼의 화성침공 |팀 버튼의 크리스마스 악몽|배트맨2|가위손|프랑켄위니|빈센트 
20316812,이창근,감독,로망
20322352,이창근,촬영팀,미투 숨겨진 진실
10057658,이창근,감독,투명인의 최후|인생 화보|북한의 실정|신라의 고적|돌아오는 영혼|도회의 비가|산괴령
20163465,이창근,연출팀,사랑을 놓치다
20163464,이창근,애니메이션팀,날으는 돼지 - 해적 마테오
20163463,이창근,배우,게임오버
10052420,워시 웨스트모어랜드,감독,콜레트|스틸 앨리스|달콤한 열여섯
20196167,이정범,동시녹음팀,미션스쿨|하이힐
10057273,이정범,감독,악질경찰|미씽: 사라진 여자|우는 남자|집으로 가는 길|아저씨|열혈남아|귀휴
20165152,이정범,배우,마린보이
20321940,이수진,시나리오(각본),번 더 스테이지: 더 무비
20321931,이수진,스튜디오,PMC: 더 벙커
20186214,이수진,VFX 아티스트,점박이 한반도의 공룡2 : 새로운 낙원|게이트|채비|인천상륙작전|희생부활자|친구 2|노브레싱|미스터 고
20321930,이수진,광고디자인,"해피 투게더|이,기적인 남자"
20321929,이수진,음악,다이빙벨 그후
20158453,이수진,애니메이션팀,미니특공대X|파워배틀 와치카: 와치가면의 역습|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|최강전사 미니특공대: 영웅의 탄생|최강전사 미니특공대 : 새로운 악당의 습격|뽀로로 극장판 슈퍼썰매 대모험|그리스 로마신화 - 올림포스 가디언 - 기간테스 대역습
20158440,이수진,의상,"해피 투게더|더 플랜|시간위의 집|괴물들|성실한 나라의 앨리스|화려한 외출|조난자들|공범|이웃사람|혜원아, 사랑해|고양이: 죽음을 보는 두 개의 눈|위험한 상견례|로맨틱 헤븐|살인의 강|파괴된 사나이|포화속으로|시|바람|비몽|시간|세상에 믿을 놈 없다"
20181202,이수진,데이타매니저,환절기|불한당: 나쁜 놈들의 세상|위대한 소원|기술자들|피크닉|은교
20321939,이수진,연출팀,동창회의 목적 3
10056161,이수진,감독,우상|한공주|적의 사과|아들의 것|아빠
20239886,김지혜,감독,썬키스 패밀리|생생활활
20320384,김지혜,배우,사돈처녀
20314932,김지혜,배우,스윙키즈|여곡성|미쓰백|공작
20163057,김지혜,제작팀,미쓰백|리얼|아수라|위대한 소원|22|나는 곤경에 처했다!|너와 나의 21세기
20065785,김지혜,프로듀서,홈|살아남은 아이|어른도감|용순|우리들|코리아|스카우트|아이스케키|광식이 동생 광태|사마리아|맛있는 섹스 그리고 사랑|일단뛰어
20163091,김지혜,광고디자인,"5.18 힌츠페터 스토리|사랑한다, 사랑하지 않는다"
20163043,김지혜,스크립터,아버지를 찾아서|그것만이 내 세상|성판17: 남자들의 17가지 성적 판타지|공조|히말라야|국제시장|바람과 함께 사라지다|로맨틱 헤븐|우리 이웃의 범죄|조선명탐정 : 각시투구꽃의 비밀|외톨이|전투의 매너|2월 29일 - 어느날 갑자기 첫번째 이야기|댄서의 순정
20184238,김지혜,애니메이션팀,미니특공대X|극장판 또봇: 로봇군단의 습격|최강전사 미니특공대: 영웅의 탄생|최강전사 미니특공대 : 새로운 악당의 습격|다이노 타임|뽀로로 극장판 슈퍼썰매 대모험
20163048,김지혜,액션/스턴트팀,"창궐|명당|조선명탐정: 흡혈괴마의 비밀|1987|강철비|악녀|협녀, 칼의 기억|간신|좋은 친구들|써니|요술|육혈포 강도단|백야행|불신지옥|거북이 달린다|김씨표류기"
20163071,김지혜,음악진행,협상|신과함께-인과 연|변산|지금 만나러 갑니다|신과함께-죄와 벌|대장 김창수|어느날|작은 연못|도마 안중근
20318581,신상민,감독,1919 유관순
20130940,신상민,데이타매니저,캠퍼스 S 커플|가문의 위기(가문의 영광2)
20130941,신상민,액션/스턴트팀,비상
20130938,신상민,조명팀,"가을로|청연|DMZ, 비무장지대|그녀를 믿지 마세요|써클|생활의 발견|잎새|묻지마 패밀리"
10040396,신상민,촬영팀,시|7급 공무원|아내가 결혼했다|그 남자의 책 198쪽|아들|마강호텔
10033522,애덤 로비텔,감독,이스케이프 룸|인시디어스4: 라스트 키|테이킹
10078519,클린트 이스트우드,감독,라스트 미션|설리: 허드슨강의 기적|아메리칸 스나이퍼|저지 보이즈|내 인생의 마지막 변화구 |J.에드가 - FBI의 시작|히어애프터|우리가 꿈꾸는 기적: 인빅터스|그랜 토리노|체인질링|아버지의 깃발|이오지마에서 온 편지|밀리언 달러 베이비|더 블루스: 피아노 블루스|미스틱 리버|블러드 워크|스페이스 카우보이|클린트 이스트우드: 아웃 오브 섀도우|트루 크라임|앱솔루트 파워 |매디슨 카운티의 다리|완전한 세상 |사선에서|용서받지 못한 자|후계자|더티해리 4-써든 임팩트/서든 임팩트|화이어폭스|더티 파이터 2|원 웨이 티켓|더티 해리3-집행자|아우트 로|아이거 빙벽|대도적|황야의 스트렌저|이것이 법이다|브리지|어둠속에 벨이 울릴 때|더티 해리|사기당한 사람들|켈리의 영웅들|집행자|황야의 무법자|더티 화이터
20284809,스도 토모노리,감독,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이|페이트 스테이 나이트 헤븐즈필 제1장 프레시지 플라워
10084180,막심 파디브,감독,정글북: 마법 원정대
10086073,피터 패럴리,감독,"그린 북|덤 앤 더머 투|바보 삼총사|홀 패스|하트브레이크 키드|날 미치게하는 남자|붙어야 산다|내겐 너무 가벼운 그녀|미, 마이셀프 앤드 아이린|메리에겐 뭔가 특별한 것이 있다 |킹 핀 |덤 앤 더머 "
20325318,조민호,스토리보드,항거:유관순 이야기
10065839,조민호,감독,항거:유관순 이야기|10억|강적|이공|정글쥬스|굿바이 칠드런|우리시대의 남자 
